source_record_id,name,pan,mobile,email,dob,city,segment,product_type,balance_aum,relationship_value,last_activity_date,rm_id
INSURANCE-0001,Divya D. Nair,CAJQB7197S,9920602745,DIVYA@yahoo.com,14-04-1979,Bombay,HNI,Insurance Account,409081,693711,2026-03-12,RM001
INSURANCE-0002,Rekha Deshpande,,9920602745,REKHA@company.co.in,1981-03-14,mumbai,RETAIL,Insurance Account,1841256,2864771,2026-04-22,RM002
INSURANCE-0003,Vijay Pillai,UFNZH3624L,09920602745,vijay.pillai@company.co.in,1966-05-23,mumbai,ULTRA_HNI,Insurance Account,599316,660678,2026-05-20,RM002
INSURANCE-0004,Arjun Desai,BFBDK1042Q,+919920602745,,,Madras,AFFLUENT,Insurance Account,890391,2118632,2026-07-13,RM001
INSURANCE-0005,Priya Choudhury,CDWFP1656X,9920602745,PRIYA@yahoo.com,06-11-1988,mumbai,HNI,Insurance Account,2456776,4211510,2026-07-18,RM001
INSURANCE-0006,Prakash Choudhury,,+919920602745,prakash.choudhury@company.co.in,05-04-1974,mumbai,AFFLUENT,Insurance Account,2279031,4256195,2026-03-20,RM001
INSURANCE-0007,Ankit Rao Chakraborty,,+919920602745,,29-12-1963,DELHI,ULTRA_HNI,Insurance Account,1663265,2901807,2026-03-02,RM001
INSURANCE-0008,Pooja M. Joshi,RLSGE0381Q,919920602745,,,Bombay,ULTRA_HNI,Insurance Account,2321576,3598250,2026-07-19,RM002
INSURANCE-0009,Deepa Menon,,+91-9920602745,,17/11/1969,Bombay,ULTRA_HNI,Insurance Account,1911810,2350057,2026-07-22,RM001
INSURANCE-0010,Vikram P. Rao,NQXIC 4528J,919920602745,vikram.r@outlook.com,11/10/1986,Bangalore,ULTRA_HNI,Insurance Account,1049927,2156733,2026-08-14,RM003
INSURANCE-0011,Jyoti A. Joshi,SMBPM2721V,99206-02745,jyoti.j@yahoo.com,25-10-1994,mumbai,RETAIL,Insurance Account,2133947,3196937,2026-04-14,RM001
INSURANCE-0012,ankit srinivasan,HOKCK2474Z,9920602745,asrinivasan@hotmail.com,1985-10-19,Madras,AFFLUENT,Insurance Account,2307727,4747560,2026-06-14,RM001
INSURANCE-0013,Prakash M. Choudhury,,+91-9920602745,pchoudhury@hotmail.com,28/07/1997,Madras,ULTRA_HNI,Insurance Account,112510,252236,2026-08-20,RM002
INSURANCE-0014,Vikram V. Rao,DIFAR8504D,+91-9920602745,vrao@company.co.in,07/09/1971,MUMBAI,RETAIL,Insurance Account,68450,88097,2026-06-10,RM001
INSURANCE-0015,Nisha Venkat Mehta,OXYAW8521R,+91 99206 02745,nisha.mehta@yahoo.com,02/05/1972,MUMBAI,HNI,Insurance Account,2161858,4248946,2026-06-23,RM002
INSURANCE-0016,A. Pillai,IJAOZ7680Q,+91-9920602745,asha7@hotmail.com,1991-09-02,Bangalore,AFFLUENT,Insurance Account,630682,960730,2026-07-26,RM001
INSURANCE-0017,Deeca Verma,FFFFF6366Q,99206-02745,deepa.verma@hotmail.com,1963-11-02,Madras,ULTRA_HNI,Insurance Account,1716818,4250581,2026-07-12,RM001
INSURANCE-0018,Asha N. Kaur,GWSSS 5018W,99206-02745,asha.k@yahoo.com,15/12/1987,Bombay,HNI,Insurance Account,253175,343594,2026-08-09,RM001
INSURANCE-0019,Deepa Agarwal,HVSVR4121H,9920602745,,1967-06-08,Bombay,ULTRA_HNI,Insurance Account,2341256,3870553,2026-07-20,RM002
INSURANCE-0020,Meera Kulkarni,RJYGP0492X,919920602745,meera36@yahoo.com,,Pune,ULTRA_HNI,Insurance Account,1839593,4423639,2026-07-27,RM002
INSURANCE-0021,Kiran Kulkarni,LMJTK8542C,09920602745,KIRAN@gmail.com,,Chennai,RETAIL,Insurance Account,1517771,3711505,2026-04-26,RM003
INSURANCE-0022,Kavitha V. Rao,ASWBX9886Y,+91-9920602745,,06/06/1998,Pune,RETAIL,Insurance Account,1883532,4506925,2026-08-02,RM002
INSURANCE-0023,R. Banerjee,,9920602745,rekha.banerjee@outlook.com,1981-10-26,Madras,ULTRA_HNI,Insurance Account,2195419,4934178,2026-06-22,RM002
INSURANCE-0024,S. Raghavan,FVNZU3334P,9920602745,sneha.raghavan@hotmail.com,24-11-1983,hyderabad,RETAIL,Insurance Account,942862,2187578,2026-02-28,RM002
INSURANCE-0025,Arjun Kaur,QJGVY 0401S,9920602745,ARJUN@outlook.com,12/06/1982,HYDERABAD,RETAIL,Insurance Account,217679,449399,2026-07-27,RM002
INSURANCE-EXTRA-0001,Asha Joshi,VXKQH6826P,+919920602745,asha34@yahoo.com,,Poona,AFFLUENT,Insurance Standard,942697,1414045,2026-07-27,RM002
INSURANCE-EXTRA-0002,Prakash Kaur,FEOSO6838F,9920602745,prakash4@outlook.com,23-10-1960,Mumbai,RETAIL,Insurance Standard,342115,513172,2026-07-14,RM003
INSURANCE-EXTRA-0003,Rekha Das,,+91 99206 02745,rekha.das@yahoo.com,1969-06-04,Madras,RETAIL,Insurance Standard,952909,1429363,2026-07-05,RM002
INSURANCE-EXTRA-0004,Prakash Mishra,,+91 99206 02745,PRAKASH@company.co.in,19/12/1977,Delhi,AFFLUENT,Insurance Standard,402777,604165,2026-07-26,RM003
INS-CONFLICT-002,Aarav Singhania,DDDDD3333D,8888877777,aarav.s@yahoo.com,1990-07-20,Delhi,,,,,,
INS-MATCH-003,Rohita P. Raghavan,,9876543210,ROHITA@gmail.com,12/06/1988,Bengaluru,,,,,,
