source_record_id,name,pan,mobile,email,dob,city,segment,product_type,balance_aum,relationship_value,last_activity_date,rm_id
LOAN-0001,Kiqan Kulkarni,LMJTK8542C,+91-9920602745,KIRAN@yahoo.com,26/05/1998,CHENNAI,RETAIL,Loan Account,2070005,4835624,2026-04-20,RM003
LOAN-0002,Nisha Venkat Mehta,,919920602745,,02-05-1972,mumbai,HNI,Loan Account,318854,622802,2026-06-06,RM003
LOAN-0003,D. Agarwal,HVSVR4121H,09920602745,deepa9@company.co.in,,mumbai,ULTRA_HNI,Loan Account,766346,1760729,2026-07-15,RM003
LOAN-0004,Rekha Banerjee,,+91 99206 02745,rekha.banerjee@gmail.com,,CHENNAI,ULTRA_HNI,Loan Account,1240431,2930036,2026-04-07,RM002
LOAN-0005,J. Joshi,,919920602745,jjoshi@yahoo.com,1994-10-25,Bombay,RETAIL,Loan Account,978081,2010436,2026-03-27,RM003
LOAN-0006,Meira Kulkarni,RJYGP0492X,+91 99206 02745,MEERA@hotmail.com,26/04/1984,PUNE,ULTRA_HNI,Loan Account,2226389,4473368,2026-04-11,RM003
LOAN-0007,Deepa K. Menon,,99206-02745,deepa.menon@outlook.com,17-11-1969,mumbai,ULTRA_HNI,Loan Account,1986668,2851333,2026-05-23,RM001
LOAN-0008,Divya Nair,,09920602745,divya99@company.co.in,,Bombay,HNI,Loan Account,1874763,3487314,2026-04-26,RM002
LOAN-0009,Prakash M. Choudhury,TIYKP0793Q,9920602745,prakash53@yahoo.com,28-07-1997,Chennai,ULTRA_HNI,Loan Account,925916,1360960,2026-08-14,RM003
LOAN-0010,Pioja Joshi,RLSGE0381Q,919920602745,pooja.j@yahoo.com,12-05-1994,MUMBAI,ULTRA_HNI,Loan Account,2254434,3700731,2026-08-01,RM001
LOAN-0011,Swfti Kaur,UMQKN3864P,09920602745,skaur@yahoo.com,24-04-1987,Kolkata,AFFLUENT,Loan Account,2329231,5664986,2026-05-28,RM003
LOAN-0012,priya choudhury,CDWFP1656X,09920602745,pchoudhury@outlook.com,06-11-1988,Mumbai,HNI,Loan Account,469541,690987,2026-08-11,RM002
LOAN-0013,ankit srinivasan,HOKCK2474Z,919920602745,,19-10-1985,chennai,AFFLUENT,Loan Account,295132,697485,2026-08-15,RM002
LOAN-0014,Deepa V. Rao,RJISE1392C,+91-9920602745,DEEPA@gmail.com,,Kolkata,ULTRA_HNI,Loan Account,861135,1564203,2026-05-01,RM001
LOAN-0015,Viaay Pillai,UFNZH3624L,09920602745,vpillai@outlook.com,23-05-1966,Mumbai,ULTRA_HNI,Loan Account,2103297,2995896,2026-03-02,RM002
LOAN-0016,P. Choudhury,GDAKC5721M,919920602745,prakash.choudhury@company.co.in,05/04/1974,MUMBAI,AFFLUENT,Loan Account,683951,1607585,2026-03-15,RM001
LOAN-0017,S. Raghavan,FVNZU3334P,9920602745,SNEHA@hotmail.com,24/11/1983,hyderabad,RETAIL,Loan Account,1850883,3452510,2026-07-05,RM001
LOAN-0018,L. Iyer,ZJPFA5348K,99206-02745,LAKSHMI@outlook.com,27/06/1967,mumbai,RETAIL,Loan Account,2006625,3488100,2026-05-12,RM003
LOAN-0019,Rekha Deshpande,CQWOH0027M,+91-9920602745,rdeshpande@gmail.com,,Mumbai,RETAIL,Loan Account,2283266,3175768,2026-06-19,RM002
LOAN-0020,Vikram Mishra,GTPIT5646J,919920602745,vmishra@yahoo.com,12/02/1967,Poona,RETAIL,Loan Account,1393011,1703475,2026-04-19,RM002
LOAN-0021,Arjun Rao Desai,,+91-9920602745,adesai@yahoo.com,14/03/1970,Madras,AFFLUENT,Loan Account,1442425,2199542,2026-03-06,RM002
LOAN-0022,Vikram V. Rao,DIFAR8504D,+91-9920602745,,,Mumbai,RETAIL,Loan Account,1249606,2297488,2026-06-29,RM003
LOAN-0023,ankit chakraborty,SILLE2351P,09920602745,ANKIT@hotmail.com,1963-12-29,DELHI,ULTRA_HNI,Loan Account,1076174,2406514,2026-07-31,RM003
LOAN-0024,Asha Kaur,GWSSS5018W,+919920602745,akaur@yahoo.com,15/12/1987,mumbai,HNI,Loan Account,400744,774980,2026-05-03,RM001
LOAN-0025,Kavitha Rao,ASWBX9886Y,9920602745,kavitha.rao@outlook.com,,PUNE,RETAIL,Loan Account,1361862,2819357,2026-02-24,RM002
LOAN-EXTRA-0001,Prakash Mehta,,919920602745,prakash.m@yahoo.com,06-03-2000,Hyderabad,HNI,Loan Standard,524512,786768,2026-07-26,RM002
LOAN-EXTRA-0002,Nisha Desai,XPOWJ6479J,919920602745,nisha.d@hotmail.com,19/10/1982,Poona,RETAIL,Loan Standard,511513,767269,2026-07-22,RM002
LOAN-EXTRA-0003,Asha Gupta,TXWZJ6195N,+919920602745,ASHA@gmail.com,,Lucknow,HNI,Loan Standard,51120,76680,2026-06-02,RM001
LOAN-EXTRA-0004,Deepa Patel,,+91 99206 02745,deepa10@company.co.in,,Hyderabad,HNI,Loan Standard,89090,133635,2026-07-12,RM002
LOAN-EXTRA-0005,Amit Choudhury,DWQNS6073G,09920602745,amit52@company.co.in,1977-07-26,Mumbai,HNI,Loan Standard,505797,758695,2026-06-22,RM002
LN-CONFLICT-001,Vikram Mehta,CCCCC2222C,9999988888,vikram.mehta@gmail.com,1985-03-15,Bombay,,,,,,
LN-MATCH-003,R. Raghavan,ABCDE1234F,98765-43210,rohita@Gmail.COM,1988-06-12,bangalore,,,,,,
