source_record_id,name,pan,mobile,email,dob,city,segment,product_type,balance_aum,relationship_value,last_activity_date,rm_id
MUTUAL_FUND-0001,Pooja M. Joshi,RLSGE0381Q,09920602745,pooja.j@yahoo.com,1994-05-12,MUMBAI,ULTRA_HNI,Mutual_Fund Account,226670,448231,2026-05-19,RM002
MUTUAL_FUND-0002,Kavitha V. Rao,,99206-02745,,,Poona,RETAIL,Mutual_Fund Account,977419,1610900,2026-07-01,RM003
MUTUAL_FUND-0003,Nisha V. Mehta,OXYAW8521R,+91-9920602745,nisha.m@company.co.in,02/05/1972,MUMBAI,HNI,Mutual_Fund Account,2444201,5910772,2026-08-01,RM002
MUTUAL_FUND-0004,Deepa Agarwal,HVSVR4121H,09920602745,DEEPA@company.co.in,,mumbai,ULTRA_HNI,Mutual_Fund Account,2220342,3140975,2026-04-06,RM003
MUTUAL_FUND-0005,P. Choudhury,,99206-02745,,,mumbai,AFFLUENT,Mutual_Fund Account,1763913,2744488,2026-03-31,RM002
MUTUAL_FUND-0006,Deepa Verma,FFFFF6366Q,99206-02745,deepa.v@hotmail.com,02/11/1963,Madras,ULTRA_HNI,Mutual_Fund Account,632192,1208188,2026-07-08,RM001
MUTUAL_FUND-0007,Rekha R. Deshpande,CQWOH 0027M,+919920602745,rekha.deshpande@company.co.in,1981-03-14,Bombay,RETAIL,Mutual_Fund Account,1928112,3758537,2026-05-29,RM002
MUTUAL_FUND-0008,Meera Kulkarni,RJYGP0492X,09920602745,meera.kulkarni@hotmail.com,1984-04-26,PUNE,ULTRA_HNI,Mutual_Fund Account,2291528,4868898,2026-02-28,RM003
MUTUAL_FUND-0009,Dsepa Menon,ZBLPQ4437W,+91-9920602745,dmenon@yahoo.com,17-11-1969,mumbai,ULTRA_HNI,Mutual_Fund Account,1629831,3681205,2026-05-04,RM001
MUTUAL_FUND-0010,Kiran Kulkarni,LMJTK8542C,+91-9920602745,,,CHENNAI,RETAIL,Mutual_Fund Account,2341449,4810500,2026-05-31,RM001
MUTUAL_FUND-0011,Arsun Kaur,QJGVY0401S,+91 99206 02745,arjun74@yahoo.com,12/06/1982,HYDERABAD,RETAIL,Mutual_Fund Account,2335081,5835431,2026-03-20,RM002
MUTUAL_FUND-0012,Prakash Choudhury,TIYKP0793Q,9920602745,prakash.choudhury@hotmail.com,1997-07-28,Chennai,ULTRA_HNI,Mutual_Fund Account,184169,458494,2026-06-05,RM003
MUTUAL_FUND-0013,Lakshmi Iyer,,+919920602745,lakshmi51@company.co.in,27-06-1967,mumbai,RETAIL,Mutual_Fund Account,1896110,4407568,2026-07-08,RM002
MUTUAL_FUND-0014,Asha P. Pillai,,9920602745,asha.p@yahoo.com,02-09-1991,Bengaluru,AFFLUENT,Mutual_Fund Account,1860534,4399736,2026-03-23,RM002
MUTUAL_FUND-0015,Sfeha Raghavan,FVNZU3334P,+919920602745,sneha.r@outlook.com,24-11-1983,HYDERABAD,RETAIL,Mutual_Fund Account,998831,1314941,2026-07-31,RM003
MUTUAL_FUND-0016,Vimay Nair,FIKAO9665T,9920602745,vijay58@gmail.com,16-01-1961,chennai,HNI,Mutual_Fund Account,2464448,5724071,2026-08-11,RM003
MUTUAL_FUND-0017,V. Rao,NQXIC4528J,+91-9920602745,,11/10/1986,BENGALURU,ULTRA_HNI,Mutual_Fund Account,1512980,3275390,2026-08-15,RM002
MUTUAL_FUND-0018,Asha N. Kaur,GWSSS5018W,+919920602745,ASHA@yahoo.com,15/12/1987,Mumbai,HNI,Mutual_Fund Account,1278776,1613658,2026-05-08,RM001
MUTUAL_FUND-0019,Ankit Srinivasan,,+91 99206 02745,ankit.srinivasan@outlook.com,19-10-1985,Chennai,AFFLUENT,Mutual_Fund Account,2158363,4811901,2026-07-19,RM001
MUTUAL_FUND-0020,A. Chakraborty,SILLE2351P,+91-9920602745,ANKIT@hotmail.com,1963-12-29,delhi,ULTRA_HNI,Mutual_Fund Account,822409,1913763,2026-04-21,RM002
MUTUAL_FUND-0021,Deepa Rao,RJISE1392C,09920602745,deepa.rao@yahoo.com,18/07/1992,KOLKATA,ULTRA_HNI,Mutual_Fund Account,150723,252651,2026-04-26,RM003
MUTUAL_FUND-0022,A. Desai,,+91 99206 02745,arjun41@hotmail.com,14/03/1970,Madras,AFFLUENT,Mutual_Fund Account,1207105,2839752,2026-08-17,RM003
MUTUAL_FUND-0023,Jyoti A. Joshi,,99206-02745,jyoti78@outlook.com,25/10/1994,Mumbai,RETAIL,Mutual_Fund Account,71840,85480,2026-04-03,RM003
